Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
4345,GA,Alternative Fuel Excise Tax,"Distributors who sell or use motor fuel, including special fuels, are
subject to an excise tax of \$0.26 per gallon. Motor fuels that are not
commonly sold or measured by the gallon and are used in motor vehicles
on public highways are taxed according to their gasoline gallon
equivalent (GGE). A GGE of electricity may not exceed 11 kilowatt-hours,
of hydrogen must be at least 2.2 pounds, of compressed natural gas (CNG)
must be at least 110,000 British thermal units, and of liquefied natural
gas (LNG) must be at least 6.06 pounds. CNG is defined as a mixture of
hydrocarbon gases and vapors, consisting principally of methane in
gaseous form that has been compressed for use as a motor fuel. LNG is
defined as methane or natural gas in the form of a cryogenic or
refrigerated liquid for use as a motor fuel. Propane and special fuels
sold in bulk to a licensed consumer distributor are exempt from this
tax. For electricity, the excise tax only applies to electricity sold at
a public electric vehicle charging stations. The Georgia Department of
Revenue may assess, levy, and collect tax for any other motor fuels used
on public highways using a GGE rate.

(Reference [Georgia Code 48-9-3](https://www.legis.ga.gov/))",,2023-05-02 00:00:00 UTC,false,75,Laws and Regulations,"",2023-05-16 19:09:45 UTC,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",FUEL,STATION|PURCH,https://www.legis.ga.gov/|https://www.legis.ga.gov/,amended,2023-05-02
4413,IA,Alternative Fuel Vehicle Acquisition Requirements,"At least 10% of new vehicles purchased by institutions under the control
of the state fleet director, including the Iowa Department of
Transportation, Board of Directors of Community Colleges, Board of
Regents, Commission for the Blind, and Department of Corrections must be
capable of operating on alternative fuels. Alternative fuels include
E85, B20, natural gas, propane, solar energy, and electricity. Vehicles
and trucks purchased and directly used for law enforcement and off-road
maintenance work are exempt from this requirement.

The state fleet must fuel diesel vehicles with biodiesel blends between
2% and 99%, and gasoline vehicles with ethanol blends between 15% and
85%. This requirement does not apply if such blends are not approved by
the U.S. Environmental Protection Agency or the vehicle manufacturer.
Additional exemptions apply. Vehicles that use biodiesel and ethanol
blends must display a brightly colored, highly visible renewable fuel
sticker. Beginning July 1, 2023, and annually thereafter, the Iowa
Department of Administrative Services must submit a report detailing the
use of ethanol and biodiesel blends in state fleet vehicles to the
governor and Iowa General Assembly.

(Reference [Iowa Code 8A.360, 8A.362, 8A.368, 216B.3, 260C.19A, 262.25A, 307.21 and 904.312A](https://www.legis.iowa.gov/index.aspx) and [House File 2128, 2022](https://www.legis.iowa.gov/index.aspx))",,,false,100,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,GOV,https://www.legis.iowa.gov/index.aspx|https://www.legis.iowa.gov/index.aspx,,
4538,MO,Alternative Fuel Promotion,"The Missouri Alternative Fuels Commission (Commission) promotes the
continued production and use of alternative transportation fuels in
Missouri. The Commission submits a report annually to the governor and
general assembly that includes: - Recommendations on changes to state
law to facilitate the sale and distribution of alternative fuels and
alternative fuel vehicles (AFV); - Promotes the development, sale,
distribution, and consumption of alternative fuels; - Promotes the
development and use of AFVs and technology that will enhance the use of
alternative and renewable fuels; - Educates consumers about alternative
fuels; and, - Develops a long-range plan for the state to reduce
consumption of petroleum fuels.

For more information, see the [Missouri Alternative Fuels
Commission](http://boards.mo.gov/userpages/Board.aspx?211) website.

(Reference [Missouri Revised Statutes 414.420](https://revisor.mo.gov/main/Home.aspx))",,,false,80,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",OTHER,OTHER,https://revisor.mo.gov/main/Home.aspx,,
4605,NM,Alternative Fuel Vehicle (AFV) and Hybrid Electric Vehicle (HEV) Acquisition Requirements,"A minimum of 75% of state government and educational institution fleet
light-duty vehicles purchased must be HEVs or bi-fuel or dedicated AFVs.
Vehicles must meet or exceed the federal corporate average fuel economy
standards. Certified law enforcement pursuit vehicles and emergency
vehicles are exempt from this requirement. The New Mexico Energy,
Minerals and Natural Resources Department may grant additional
exemptions based on the availability and suitability of vehicles, as
well as fuel availability and cost.

(Reference [New Mexico Statutes 13-1B-1 through 13-1B-7](https://nmonesource.com/nmos/nmsa/en/nav_date.do))",,,false,65,Laws and Regulations,"",2018-03-09 15:32:39 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|PHEV|LPG,"",REQ,FLEET|GOV,https://nmonesource.com/nmos/nmsa/en/nav_date.do,,
4688,OR,Alternative Fuel Vehicle Acquisition (AFV) and Fuel Use Requirements,"Beginning January 1, 2025, all new light-duty state agency fleet vehicle
purchases or leases must be all-electric, plug-in hybrid electric, or
hydrogen fuel cell vehicles, to the maximum extent possible. If
purchasing or leasing these vehicles is not feasible, state agencies may
purchase or lease light-duty AFVs or qualifying low-emission vehicles.
Each state agency must develop and report a greenhouse gas reduction
baseline and annual reduction targets to the Oregon Department of
Administrative Services (DAS). Reports to DAS must include the number of
purchases or leases of ZEVs, AFVs, and AFV conversions and the quantity
of each type of alternative fuel used annually by state agency fleets.

(Reference [Executive Order 20-04, 2020](https://www.oregon.gov/gov/Pages/executive-orders.aspx) and [Oregon Revised Statutes 267.030 and 283.327](https://www.oregonlegislature.gov/))",2005-06-15 00:00:00 UTC,2020-03-10 00:00:00 UTC,false,100,Laws and Regulations,"",2020-04-23 00:21:30 UTC,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ|CCEINIT,GOV,http://governor.oregon.gov/Gov/exec_orders.shtml|https://www.oregon.gov/gov/Pages/executive-orders.aspx|https://www.oregon.gov/gov/Pages/executive-orders.aspx|https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/bills_laws,amended,2020-03-10
4788,VA,Alternative Fuel Vehicle (AFV) Tax Reduction Authorization,"Local governments may reduce personal property taxes paid on AFVs and
low-speed vehicles. AFVs include vehicles that operate using natural
gas, liquefied petroleum gas or propane, hydrogen, or electricity.

(Reference [Virginia Code 58.1-3506](https://law.lis.virginia.gov/vacode/))",,,false,75,Laws and Regulations,"",,,,,"",ELEC|HY|NG|LPG,"",OTHER,OTHER,https://law.lis.virginia.gov/vacode/,,
4789,VA,Alternative Fuel Tax,"Alternative fuels used to operate on-road vehicles are taxed at an
annually adjusted rate per gasoline gallon equivalent (GGE). Alternative
fuels are taxed at the same rate as gasoline and gasohol. Refer to the
Virginia Department of Motor Vehicles [Fuels Tax Rates and Alternative
Fuels
Conversion](https://www.dmv.virginia.gov/commercial/#taxact/tax_rates.asp)
website for fuel-specific GGE calculations.

(Reference [Virginia Code 58.1-2217 and 58.1-2249](https://law.lis.virginia.gov/vacode/))",2013-04-03 00:00:00 UTC,2014-02-27 00:00:00 UTC,false,65,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",FUEL,STATION|PURCH|FLEET|IND,http://virginiageneralassembly.gov/|https://law.lis.virginia.gov/vacode/|http://virginiageneralassembly.gov/,amended,2014-02-27
4796,VA,Alternative Fuel Provider License,"Alternative fuel providers, bulk users, and retailers, or any person who
fuels an alternative fuel vehicle from a private source that does not
pay the alternative fuels tax must obtain an alternative fuel license
from the Virginia Department of Motor Vehicles (DMV). For more
information, see the DMV [Fuels Tax
Licensing](http://www.dmv.virginia.gov/commercial/#taxact/license.asp)
website.

(Reference [Virginia Code 58.1-2244](https://law.lis.virginia.gov/vacode/))",,,false,70,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REGIS,STATION|AFP|PURCH,https://law.lis.virginia.gov/vacode/,,
4823,WV,Alternative Fuel Production Subsidy Prohibition,"Incentives or subsidies from political subdivisions for the production
of alternative fuels are prohibited by law, with exceptions for certain
coal-based liquid fuels.

(Reference [West Virginia Code 8-27A-3 and 11-13D-3D](https://code.wvlegislature.gov/))",,,false,30,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",STD,AFP,https://code.wvlegislature.gov/,,
4841,WI,Alternative Fuel Vehicle and Alternative Fuel Use Policy,"The Wisconsin Department of Administration (DOA) encourages state
employees operating state-owned or leased motor vehicles to use hybrid
electric vehicles or vehicles that operate on gasohol (a motor fuel
containing at least 10% alcohol) or alternative fuels whenever feasible
and cost effective. DOA must place a list of gasohol and alternative
fueling station locations in each state-owned or state-leased motor
vehicle for driver reference. DOA also encourages Wisconsin residents
and state employees who use personal motor vehicles on state business to
use gasohol and alternative fuels.

(Reference [Wisconsin Statutes 16.045](http://legis.wisconsin.gov/rsb/stats.html))",,2010-05-20 00:00:00 UTC,false,40,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,"",REQ,FLEET|GOV|IND,http://legis.wisconsin.gov/rsb/stats.html|https://docs.legis.wisconsin.gov/code/executive_orders/2003_jim_doyle/2006-141.pdf,amended,2010-05-20
5124,FL,Electric Vehicle (EV) Insurance Regulation,"Insurance companies may not impose surcharges on EVs based on factors
such as new technology, passenger payload, weight-to-horsepower ratio,
and the types of material used to manufacture the vehicle, unless the
Florida Office of Insurance Regulation receives actuarial data that
determines the surcharges are justified.

(Reference [Florida Statutes 627.06535](http://www.flsenate.gov/Laws/))",,,false,66,Laws and Regulations,"",,,,,"",ELEC|PHEV,"",OTHER,FLEET|GOV|IND,http://www.flsenate.gov/Laws/,,
5197,AK,Alternative Fuel Vehicle Acquisition Requirement,"The Alaska Department of Transportation and Public Facilities
(Department) must evaluate the cost, efficiency, and commercial
availability of alternative fuels for automotive purposes every five
years, and purchase or convert to vehicles that operate using
alternative fuels whenever practical. The Department may participate in
joint ventures with public or private partners to foster the
availability of alternative fuels for consumers.

(Reference [Alaska Statutes 44.42.020](http://www.akleg.gov/basis/statutes.asp))",,,false,25,Laws and Regulations,"",,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,OTHER,http://www.akleg.gov/basis/statutes.asp,,
5200,IN,Certified Technology Park Designation,"The Indiana Economic Development Corporation (IEDC) may designate an
area as a certified technology park if certain criteria are met,
including a commitment from at least one business engaged in a high
technology activity that creates a significant number of jobs. The
establishment of high technology activities and public facilities within
a technology park serves a public purpose and benefits the public's
general welfare by encouraging investment, job creation and retention,
and economic growth and diversity. High technology activities include
advanced vehicles technology, which is any technology that involves
electric vehicles, hybrid electric vehicles, or alternative fuel
vehicles, or components used in the construction of these vehicles. For
more information, see the IEDC [Indiana Certified Technology
Parks](http://iedc.in.gov/programs/certified-technology-parks) website.

(Reference [Indiana Code 36-7-32](http://www.in.gov/legislative/ic/code/))",,,false,145,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,"",OTHER,AFP|MAN|OTHER,http://www.in.gov/legislative/ic/code/,,
5216,OK,Alternative Fuel Technician Training,"The Alternative Fuels Technician Certification Act (Act) regulates the
training, testing, and certification of technicians and trainees who
install, modify, repair, or renovate equipment used in alternative
fueling infrastructure and in the conversion of any engine to operating
on an alternative fuel. Alternative fuels include propane, natural gas,
methanol, ethanol, electricity, hydrogen, biodiesel, and more. This
includes original equipment manufacturer engines dedicated to operating
on an alternative fuel. Electric vehicles (EVs), EV charging
infrastructure, and EV technicians must also comply with the rules and
regulations of this Act.

(Reference [Oklahoma Statutes 40-142.1 through 40-142.16](http://www.oklegislature.gov/))",,,false,110,Laws and Regulations,"",2015-08-10 14:30:29 UTC,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REGIS,STATION|MAN,http://www.oklegislature.gov/,,
5236,IA,Alternative Fuel Vehicle (AFV) Demonstration Grant Authorization,"The Iowa Department of Natural Resources (Department) may award
demonstration grants to individuals who purchase vehicles that operate
on alternative fuels, including but not limited to E85, biodiesel,
compressed natural gas, electricity, solar energy, or hydrogen.
Individuals may use the grants to conduct research connected with the
fuel or vehicle. Grant funding to purchase the vehicle is available if
the Department retains the title of the vehicle, the vehicle is used for
research, and the proceeds from the eventual sale of the vehicle are
used for additional research. Grants are subject to funding
availability.

(Reference [Iowa Code 214A.24](https://www.legis.iowa.gov/))",,2019-05-10 00:00:00 UTC,false,63,Laws and Regulations,"",2019-07-09 17:52:56 UTC,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV,"",OTHER,FLEET|IND,https://www.legis.iowa.gov/|https://www.legis.iowa.gov/,amended,2019-05-10
5253,MO,Alternative Fuel Vehicle (AFV) Acquisition and Alternative Fuel Use Requirements,"A state agency that operates a vehicle fleet consisting of 15 vehicles
or more must ensure that at least 50% of new vehicles purchased over a
defined biennial period are capable of operating using an alternative
fuel. Excess acquisitions of AFVs may be credited towards future
biennial goals. If a state agency fails to meet a biennial acquisition
goal, purchases of any non-AFVs are not permitted until the goals are
met or an exemption or goal reduction has been granted. In addition, 30%
of the fuel purchased annually for use in operating state fleet vehicles
must be alternative fuels.

(Reference [Missouri Revised Statutes 414.400 and 414.410](https://revisor.mo.gov/main/Home.aspx))",,,false,70,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,GOV,https://revisor.mo.gov/main/Home.aspx,,
5338,OH,Alternative Fuel Vehicle Conversion,"It is unlawful to tamper with vehicle emissions control systems unless
the action is for the purpose of converting a motor vehicle to operate
on an alternative fuel and is in compliance with the standards adopted
under the Clean Air Act Amendments.

(Reference [Ohio Revised Code 3704.16-3704.162](http://codes.ohio.gov/orc/))",1993-09-27 00:00:00 UTC,,false,80,Laws and Regulations,"",,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",AIRQEMISSIONS,MAN|FLEET|GOV|IND,http://codes.ohio.gov/orc/,enacted,1993-09-27
